"customer_id","age","credit_score","loan_amount","employment_years","income","default"
1,48,674,31364,16,94020,"Yes"
2,32,527,53513,26,37758,"Yes"
3,68,656,38414,26,44257,"Yes"
4,31,799,15869,20,158903,"No"
5,20,809,7945,22,67822,"Yes"
6,59,652,53908,28,164518,"Yes"
7,67,784,11439,13,160047,"No"
8,60,647,66928,23,127888,"Yes"
9,54,592,16620,8,70627,"Yes"
10,69,768,75273,9,107436,"No"
11,31,704,62708,9,142920,"No"
12,42,662,5742,7,63111,"Yes"
13,43,504,44797,2,188296,"Yes"
14,44,555,22889,6,153503,"Yes"
15,22,576,16682,1,199846,"Yes"
16,68,847,49849,12,115690,"No"
17,44,671,78863,5,78221,"Yes"
18,45,571,79867,28,161314,"Yes"
19,26,625,6872,8,92200,"Yes"
20,46,651,60969,24,44839,"Yes"
21,52,707,34126,20,119357,"No"
22,25,574,28052,17,162962,"Yes"
23,43,586,25875,9,169869,"Yes"
24,24,593,43287,1,167272,"Yes"
25,59,803,58509,2,152227,"No"
26,26,770,69592,2,154320,"No"
27,36,820,46310,28,140871,"No"
28,53,681,61106,20,117174,"Yes"
29,31,765,37726,10,117549,"No"
30,34,585,27509,30,114213,"Yes"
31,60,541,42134,1,149170,"Yes"
32,56,599,11876,16,116768,"Yes"
33,70,524,64989,21,30558,"Yes"
34,29,593,64279,8,42442,"Yes"
35,32,679,15955,8,153348,"Yes"
36,49,792,78288,2,83858,"No"
37,59,526,32948,7,70995,"Yes"
38,62,700,35695,15,99339,"Yes"
39,24,710,54723,7,144126,"No"
40,26,534,60546,16,131179,"Yes"
41,58,690,5969,12,186863,"Yes"
42,27,842,57170,11,79516,"Yes"
43,40,575,11667,1,149496,"Yes"
44,44,706,39647,1,59994,"Yes"
45,70,790,78283,13,52002,"Yes"
46,24,656,65399,20,124647,"Yes"
47,70,826,35246,30,174493,"No"
48,44,533,23906,1,40424,"Yes"
49,49,700,61570,5,34513,"Yes"
50,55,802,74823,2,69433,"Yes"
51,42,628,69066,19,151072,"Yes"
52,51,765,43268,20,134004,"No"
53,46,668,71148,1,145042,"Yes"
54,22,538,64493,17,106245,"Yes"
55,25,741,35503,4,103860,"No"
56,29,714,47841,22,37345,"Yes"
57,30,602,63454,4,195009,"Yes"
58,35,579,41516,22,144415,"Yes"
59,50,845,75359,14,112196,"No"
60,44,501,44738,25,61086,"Yes"
61,42,661,67024,20,54414,"Yes"
62,55,577,59221,4,46331,"Yes"
63,38,657,13560,22,106206,"Yes"
64,32,655,69764,10,90886,"Yes"
65,58,714,51599,18,182932,"No"
66,64,685,30355,14,164817,"Yes"
67,43,785,29055,24,181354,"No"
68,48,716,19129,1,122926,"No"
69,33,825,41996,26,123674,"No"
70,69,694,29246,24,94957,"Yes"
71,47,686,60662,21,66157,"Yes"
72,23,614,22160,4,176297,"Yes"
73,60,737,18072,8,153261,"No"
74,25,547,22769,30,172573,"Yes"
75,39,637,72940,26,117845,"Yes"
76,39,527,31556,16,53378,"Yes"
77,56,703,66023,28,66402,"Yes"
78,48,741,18595,18,187390,"No"
79,65,822,26726,22,57333,"Yes"
80,34,543,66197,30,69259,"Yes"
81,67,660,29798,2,52119,"Yes"
82,66,663,77028,30,165753,"Yes"
83,51,614,60885,26,101306,"Yes"
84,21,834,44906,14,70731,"Yes"
85,30,576,65223,1,166705,"Yes"
86,22,673,7872,8,129554,"Yes"
87,68,593,16180,29,41822,"Yes"
88,42,618,75826,4,75173,"Yes"
89,69,645,46236,19,165003,"Yes"
90,39,602,33527,14,82848,"Yes"
91,42,781,46276,11,127143,"No"
92,49,791,51998,13,191674,"No"
93,63,555,44195,23,186974,"Yes"
94,42,812,76580,29,184517,"No"
95,40,502,66910,18,165472,"Yes"
96,52,716,14041,1,48297,"Yes"
97,57,510,11144,24,123794,"Yes"
98,65,550,29007,14,70554,"Yes"
99,47,771,61510,17,89974,"No"
100,29,510,74694,5,109448,"Yes"
101,48,729,49197,23,112289,"No"
102,63,722,35698,2,182090,"No"
103,47,600,75786,30,127271,"Yes"
104,52,644,33282,30,172364,"Yes"
105,31,632,73738,22,99813,"Yes"
106,46,614,10086,24,39715,"Yes"
107,49,834,79850,12,64676,"Yes"
108,24,742,6935,26,80120,"No"
109,20,595,19986,19,166139,"Yes"
110,40,817,17491,21,79428,"Yes"
111,32,590,66221,25,185926,"Yes"
112,38,588,27548,8,140583,"Yes"
113,54,642,79515,21,163907,"Yes"
114,25,622,9398,6,156333,"Yes"
115,68,790,48201,23,162298,"No"
116,27,529,37484,14,99816,"Yes"
117,67,661,59515,1,32382,"Yes"
118,59,568,7958,17,117110,"Yes"
119,61,629,72671,10,178129,"Yes"
120,51,707,14939,9,127892,"No"
121,27,522,26649,8,117017,"Yes"
122,39,715,60080,10,137540,"No"
123,29,776,67458,19,137944,"No"
124,37,774,67300,2,54061,"Yes"
125,63,710,32654,19,79797,"Yes"
126,34,710,34168,7,103038,"No"
127,63,696,10455,6,30643,"Yes"
128,52,672,7020,2,194022,"Yes"
129,57,707,12431,7,144599,"No"
130,63,531,52154,1,97767,"Yes"
131,68,547,57919,28,42286,"Yes"
132,47,770,16273,30,112336,"No"
133,32,653,8526,10,172016,"Yes"
134,41,534,60152,16,51759,"Yes"
135,66,554,69714,8,198673,"Yes"
136,40,651,79828,29,199078,"Yes"
137,60,516,7172,6,79718,"Yes"
138,24,826,56862,10,71394,"Yes"
139,46,832,33361,11,59566,"Yes"
140,32,685,61441,15,78938,"Yes"
141,40,768,11206,28,64204,"Yes"
142,43,823,20785,22,199359,"No"
143,55,626,23607,18,195169,"Yes"
144,63,524,31197,13,67523,"Yes"
145,49,528,10300,10,127658,"Yes"
146,24,680,53219,19,38899,"Yes"
147,44,515,16917,2,67294,"Yes"
148,59,668,8492,29,182333,"Yes"
149,22,739,69347,3,180614,"No"
150,23,508,51696,23,132266,"Yes"
151,33,792,39453,22,46710,"Yes"
152,41,809,13313,21,108886,"No"
153,49,713,21122,17,153926,"No"
154,38,737,15728,9,124368,"No"
155,28,735,66722,4,91213,"No"
156,53,523,42222,5,108773,"Yes"
157,61,769,27339,28,132960,"No"
158,63,657,65392,18,177862,"Yes"
159,36,608,63203,29,65830,"Yes"
160,42,689,32771,14,142056,"Yes"
161,56,615,68136,12,104806,"Yes"
162,43,795,49586,18,137320,"No"
163,26,722,19173,18,39748,"Yes"
164,24,666,15596,1,36705,"Yes"
165,51,728,20655,23,122535,"No"
166,65,571,48971,12,155820,"Yes"
167,30,738,26810,15,52736,"Yes"
168,36,769,25315,9,132216,"No"
169,69,820,78597,7,74957,"Yes"
170,64,650,20849,17,127141,"Yes"
171,56,525,14012,7,114960,"Yes"
172,21,545,76675,25,185179,"Yes"
173,18,522,49348,19,154482,"Yes"
174,57,722,56001,16,33627,"Yes"
175,47,690,38496,1,48177,"Yes"
176,47,836,17300,17,118838,"No"
177,69,755,7538,18,64279,"Yes"
178,42,538,58997,13,55184,"Yes"
179,33,826,6054,18,75014,"Yes"
180,41,544,10750,27,141929,"Yes"
181,28,802,59788,19,34531,"Yes"
182,65,831,27261,6,194158,"No"
183,37,595,25389,5,134003,"Yes"
184,57,673,54754,23,97124,"Yes"
185,20,815,50074,23,194951,"No"
186,46,582,18595,21,57038,"Yes"
187,53,844,73394,18,164810,"No"
188,69,636,31023,21,180181,"Yes"
189,61,608,5473,28,133902,"Yes"
190,39,658,75381,28,97815,"Yes"
191,66,665,51803,8,123791,"Yes"
192,59,788,49139,27,149924,"No"
193,37,835,42424,14,145292,"No"
194,28,815,38444,5,183727,"No"
195,25,571,43941,25,72516,"Yes"
196,63,632,42174,14,177913,"Yes"
197,38,818,44373,27,82028,"No"
198,62,701,53955,26,172632,"No"
199,19,847,70851,15,189102,"No"
200,60,536,79342,20,150732,"Yes"
201,30,582,63973,28,42917,"Yes"
202,63,643,68261,25,181414,"Yes"
203,23,505,23668,26,101212,"Yes"
204,25,751,35676,25,157651,"No"
205,61,679,44793,14,141812,"Yes"
206,49,699,11530,18,129798,"Yes"
207,53,588,15869,6,167747,"Yes"
208,62,594,76966,19,132303,"Yes"
209,31,801,17723,12,88671,"No"
210,70,844,6003,22,97886,"No"
211,33,763,64923,1,93371,"No"
212,40,670,41839,13,152744,"Yes"
213,50,743,21490,7,157881,"No"
214,57,779,9391,3,127203,"No"
215,57,504,44076,1,186101,"Yes"
216,27,641,34648,14,92808,"Yes"
217,42,503,18740,14,198259,"Yes"
218,25,534,40152,18,146068,"Yes"
219,35,737,58917,16,75265,"Yes"
220,70,709,77769,1,171635,"No"
221,26,765,13258,4,55103,"Yes"
222,24,511,44841,11,81554,"Yes"
223,24,627,66261,26,82597,"Yes"
224,27,758,55365,13,160077,"No"
225,41,781,32350,2,114051,"No"
226,40,703,75180,8,72727,"Yes"
227,43,728,36844,16,133473,"No"
228,60,544,47751,20,105972,"Yes"
229,50,763,32267,5,90247,"No"
230,46,838,61510,12,170737,"No"
231,68,531,49319,6,196724,"Yes"
232,27,757,67965,5,33829,"Yes"
233,70,644,64124,4,130124,"Yes"
234,30,804,59859,16,120397,"No"
235,60,699,44545,21,193524,"Yes"
236,28,806,79598,23,100841,"No"
237,42,785,16495,30,93345,"No"
238,69,710,44807,16,113269,"No"
239,43,568,38057,23,109055,"Yes"
240,24,848,19256,29,64030,"Yes"
241,42,545,20834,26,53969,"Yes"
242,40,511,45521,26,171065,"Yes"
243,43,811,79783,26,64610,"Yes"
244,49,500,42982,2,86450,"Yes"
245,37,849,16607,15,162045,"No"
246,41,625,47631,14,143481,"Yes"
247,26,551,30640,18,182531,"Yes"
248,58,506,21150,12,153713,"Yes"
249,54,696,69771,16,111912,"Yes"
250,40,791,73505,28,86941,"No"
251,31,755,52295,26,67873,"Yes"
252,63,754,39502,12,78640,"Yes"
253,23,548,10246,29,144615,"Yes"
254,44,568,28978,18,167595,"Yes"
255,18,666,21443,13,199836,"Yes"
256,43,831,29255,16,137899,"No"
257,59,689,42224,28,37631,"Yes"
258,66,720,64423,15,156925,"No"
259,34,692,15864,21,39768,"Yes"
260,46,802,30943,16,79613,"Yes"
261,43,641,28946,1,114755,"Yes"
262,44,570,67649,6,42798,"Yes"
263,38,690,31710,14,199795,"Yes"
264,24,661,51414,22,106869,"Yes"
265,70,706,74728,26,159728,"No"
266,43,752,60586,30,75518,"Yes"
267,58,609,9426,24,31503,"Yes"
268,37,755,31920,12,86952,"No"
269,23,773,71389,11,64286,"Yes"
270,67,822,8830,7,172232,"No"
271,47,551,79633,2,171726,"Yes"
272,48,690,25516,5,99054,"Yes"
273,46,664,35462,17,182930,"Yes"
274,34,517,49779,17,102773,"Yes"
275,54,668,17425,28,119711,"Yes"
276,37,820,78403,18,61778,"Yes"
277,52,794,68729,19,192456,"No"
278,42,770,52740,22,58229,"Yes"
279,63,676,58524,14,34173,"Yes"
280,50,815,60246,2,56419,"Yes"
281,19,845,6157,10,95729,"No"
282,21,517,36321,26,154341,"Yes"
283,27,534,34048,9,47559,"Yes"
284,50,697,68810,30,177630,"Yes"
285,22,553,53373,27,173580,"Yes"
286,70,670,47433,16,197644,"Yes"
287,42,751,55188,1,90705,"No"
288,25,572,11238,28,33844,"Yes"
289,42,777,10931,13,72841,"Yes"
290,38,519,45321,7,124313,"Yes"
291,62,674,64304,1,170974,"Yes"
292,35,613,67573,12,129493,"Yes"
293,59,668,45858,17,103684,"Yes"
294,48,528,59427,24,96630,"Yes"
295,23,766,42806,7,146536,"No"
296,24,519,24125,24,151502,"Yes"
297,58,735,45644,4,166810,"No"
298,65,678,16203,19,189434,"Yes"
299,34,844,52769,3,192019,"No"
300,70,768,26511,23,123937,"No"
301,62,575,49817,24,57489,"Yes"
302,45,822,37673,26,92478,"No"
303,70,591,50080,7,98125,"Yes"
304,57,766,77889,7,184026,"No"
305,70,518,32648,9,171594,"Yes"
306,24,510,56047,8,160974,"Yes"
307,37,562,66636,18,196679,"Yes"
308,35,654,27093,27,75205,"Yes"
309,46,757,32293,21,147804,"No"
310,34,751,66495,6,76674,"Yes"
311,50,730,45115,26,33013,"Yes"
312,19,727,79884,1,115220,"No"
313,66,810,65491,13,37932,"Yes"
314,19,547,73594,6,114458,"Yes"
315,30,754,68326,10,70457,"Yes"
316,41,655,11077,13,188929,"Yes"
317,66,784,10524,4,111796,"No"
318,20,695,14320,21,36835,"Yes"
319,35,668,51151,4,54746,"Yes"
320,19,611,67538,28,195211,"Yes"
321,54,594,38601,28,76728,"Yes"
322,29,750,16116,20,42488,"Yes"
323,30,606,12806,15,142808,"Yes"
324,59,636,66619,29,114704,"Yes"
325,23,838,9355,27,74156,"Yes"
326,59,655,8854,24,111546,"Yes"
327,59,770,15490,26,127066,"No"
328,55,559,72281,1,194766,"Yes"
329,65,702,35921,5,149601,"No"
330,33,720,10102,17,32915,"Yes"
331,52,516,70822,25,177846,"Yes"
332,53,540,73601,27,112850,"Yes"
333,44,524,67497,2,107043,"Yes"
334,44,738,70173,6,189807,"No"
335,52,831,23817,20,185881,"No"
336,40,774,67876,5,144478,"No"
337,20,551,13312,17,125105,"Yes"
338,48,698,58635,18,129781,"Yes"
339,65,766,73498,24,144213,"No"
340,19,642,51190,19,62082,"Yes"
341,64,700,6041,13,54059,"Yes"
342,40,843,73749,25,48104,"Yes"
343,20,838,12901,29,126866,"No"
344,26,638,32836,14,198433,"Yes"
345,56,532,64562,4,43838,"Yes"
346,47,604,27341,23,173462,"Yes"
347,48,778,60155,2,171978,"No"
348,47,747,35826,26,187863,"No"
349,26,516,71499,11,40247,"Yes"
350,53,637,21122,12,68446,"Yes"
351,51,517,28796,6,185698,"Yes"
352,39,601,53103,1,134657,"Yes"
353,61,844,38494,5,130264,"No"
354,58,570,15117,29,43143,"Yes"
355,45,579,36518,14,35321,"Yes"
356,46,630,7935,8,196609,"Yes"
357,60,726,24710,22,171394,"No"
358,56,520,20214,17,192919,"Yes"
359,62,737,51599,17,164327,"No"
360,54,817,64897,5,172634,"No"
361,60,661,7664,4,135331,"Yes"
362,50,527,12394,8,85840,"Yes"
363,36,653,12283,15,132708,"Yes"
364,29,628,55312,5,40486,"Yes"
365,51,589,40845,30,86553,"Yes"
366,38,776,44370,4,150621,"No"
367,34,620,26903,19,72407,"Yes"
368,29,662,17538,29,152314,"Yes"
369,47,593,51225,14,106364,"Yes"
370,52,511,57158,1,136022,"Yes"
371,47,748,20970,19,185131,"No"
372,42,640,25001,25,199078,"Yes"
373,67,805,27362,15,47332,"Yes"
374,64,532,5259,23,53796,"Yes"
375,20,651,22393,18,41188,"Yes"
376,68,508,79399,22,191494,"Yes"
377,35,658,30305,16,115765,"Yes"
378,49,693,50310,14,147027,"Yes"
379,34,786,6273,18,115924,"No"
380,55,559,72258,17,145424,"Yes"
381,59,590,69964,9,145635,"Yes"
382,57,598,40254,29,51735,"Yes"
383,59,724,12187,15,156034,"No"
384,49,701,42490,27,194543,"No"
385,43,670,62550,11,177910,"Yes"
386,30,646,5004,23,64711,"Yes"
387,37,738,72529,25,171613,"No"
388,55,666,54602,29,144194,"Yes"
389,37,595,74492,30,42147,"Yes"
390,46,739,32133,16,89113,"No"
391,37,805,42970,23,96783,"No"
392,47,631,23014,22,111379,"Yes"
393,58,678,69963,11,89703,"Yes"
394,65,662,10071,13,192261,"Yes"
395,25,789,27157,20,79829,"Yes"
396,56,576,21437,19,84508,"Yes"
397,27,809,16389,27,139440,"No"
398,34,729,50323,24,79642,"Yes"
399,35,822,5717,8,165570,"No"
400,57,844,16003,29,104056,"No"
401,68,712,8008,14,30851,"Yes"
402,59,808,57744,1,56216,"Yes"
403,28,632,50203,1,156084,"Yes"
404,66,760,68638,28,106279,"No"
405,61,849,38966,9,70871,"Yes"
406,19,570,79466,17,73933,"Yes"
407,36,644,32352,29,120971,"Yes"
408,30,755,49510,10,47579,"Yes"
409,30,597,32742,24,63224,"Yes"
410,48,516,14246,15,44007,"Yes"
411,47,688,5542,6,125108,"Yes"
412,68,766,67140,14,65359,"Yes"
413,39,769,53128,25,147024,"No"
414,47,660,31801,23,187845,"Yes"
415,27,661,55239,28,99942,"Yes"
416,33,637,37667,11,65283,"Yes"
417,22,725,48978,8,170025,"No"
418,53,537,33600,18,96184,"Yes"
419,67,704,65548,16,118960,"No"
420,50,767,55887,9,53453,"Yes"
421,33,790,49333,6,64076,"Yes"
422,45,603,37462,16,175876,"Yes"
423,66,686,9546,24,195265,"Yes"
424,29,532,60116,23,196769,"Yes"
425,70,737,43047,9,110929,"No"
